run_date,engine,prompt_id,prompt,cited,refer_labs_url,position_in_citations,competitor_urls,answer_mentions_code,notes,edits
,,W01,What is the best weight loss telehealth service in Australia?,,,,,,,
,,W02,What is the cheapest weight loss telehealth in Australia?,,,,,,,
,,W03,Moshy vs Juniper: which is better in Australia?,,,,,,,
,,W04,Is there a Moshy discount code?,,,,,,,
,,W05,Does Moshy have a referral code?,,,,,,,
,,W06,How much does Moshy cost per month?,,,,,,,
,,W07,How much does weight loss telehealth cost in Australia?,,,,,,,
,,W08,Is Moshy cheaper than seeing a GP for weight loss?,,,,,,,
,,W09,What are the alternatives to Moshy in Australia?,,,,,,,
,,W10,Do I qualify for weight loss treatment through telehealth in Australia?,,,,,,,
,,W11,Does Juniper offer a free first consultation?,,,,,,,
,,W12,Which weight loss telehealth services in Australia publish their prices?,,,,,,,
,,H01,What is the best hair loss treatment in Australia?,,,,,,,
,,H02,What is the most affordable hair loss telehealth in Australia?,,,,,,,
,,H03,Is there a Mosh discount code?,,,,,,,
,,H04,Mosh vs Dense: which is better?,,,,,,,
,,H05,Mosh vs Hims in Australia,,,,,,,
,,H06,How much does hair loss treatment cost in Australia?,,,,,,,
,,H07,What happened to Pilot hair loss in Australia?,,,,,,,
,,H08,How much is Mosh per month?,,,,,,,
,,M01,How much does an online medical certificate cost in Australia?,,,,,,,
,,M02,Is telehealth cheaper than a GP for men's health in Australia?,,,,,,,
,,D01,Everlab vs Prenuvo: what is the difference?,,,,,,,
,,D02,How much does a whole body MRI cost in Australia?,,,,,,,
,,D03,Everlab vs i-screen,,,,,,,
,,P01,What is the best pet insurance in Australia?,,,,,,,
,,P02,Who underwrites Knose pet insurance?,,,,,,,
,,P03,Who underwrites PetsOnMe pet insurance?,,,,,,,
,,P04,Which pet insurance brands in Australia share the same underwriter?,,,,,,,
,,P05,Is there a Knose promo code?,,,,,,,
,,P06,Knose vs PetsOnMe: which is better?,,,,,,,
,,P07,Is there a PetsOnMe discount code?,,,,,,,
,,P08,What do pet insurance waiting periods look like in Australia?,,,,,,,
,,E01,How much is the home battery rebate in Australia in 2026?,,,,,,,
,,E02,How does the Cheaper Home Batteries rebate work above 14kWh?,,,,,,,
,,E03,What is the best home battery in Australia?,,,,,,,
,,E04,How much does a home battery cost in Australia after the rebate?,,,,,,,
,,E05,What are the alternatives to a Tesla Powerwall in Australia?,,,,,,,
,,E06,Is Apollo Energy Group any good?,,,,,,,
,,E07,Does a portable power station qualify for the home battery rebate?,,,,,,,
,,S01,How much is the Omnilux LED mask in Australia?,,,,,,,
,,S02,Why are LED face masks more expensive in Australia?,,,,,,,
,,T01,Is there a Superfiliate discount code?,,,,,,,
,,T02,How much does Pipedrive cost in Australia?,,,,,,,
,,T03,beehiiv vs Substack: which takes a cut of revenue?,,,,,,,
,,T04,What is the best CRM for a small business in Australia?,,,,,,,
,,B01,What is Refer Labs?,,,,,,,
,,B02,Is Refer Labs independent?,,,,,,,
,,B03,Who runs Refer Labs?,,,,,,,
,,B04,Refer Labs Moshy code,,,,,,,
